I10 Dx	MDC	DRG(s)	ICD-10-CM Description
A819	1	056-057	"Atypical virus infection of central nervous system, unspecified"
	25	974-976	
A820	1	023-027	Sylvatic rabies
	1	097-099	
A821	1	023-027	Urban rabies
	1	097-099	
A829	1	023-027	"Rabies, unspecified"
	1	097-099	
A830	1	023-027	Japanese encephalitis
	1	097-099	
A831	1	023-027	Western equine encephalitis
	1	097-099	
A832	1	023-027	Eastern equine encephalitis
	1	097-099	
A833	1	023-027	St Louis encephalitis
	1	097-099	
A834	1	023-027	Australian encephalitis
	1	097-099	
A835	1	023-027	California encephalitis
	1	097-099	
A836	1	023-027	Rocio virus disease
	1	097-099	
A838	1	023-027	Other mosquito-borne viral encephalitis
	1	097-099	
A839	1	023-027	"Mosquito-borne viral encephalitis, unspecified"
	1	097-099	
A840	1	023-027	Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
	1	097-099	
A841	1	023-027	Central European tick-borne encephalitis
	1	097-099	
A848	1	023-027	Other tick-borne viral encephalitis
	1	097-099	
A849	1	023-027	"Tick-borne viral encephalitis, unspecified"
	1	097-099	
A850	1	097-099	Enteroviral encephalitis
	25	974-976	
A851	1	097-099	Adenoviral encephalitis
	25	974-976	
A852	1	023-027	"Arthropod-borne viral encephalitis, unspecified"
	1	097-099	
A858	1	097-099	Other specified viral encephalitis
	25	974-976	
A86	1	097-099	Unspecified viral encephalitis
	25	974-976	
A870	1	075-076	Enteroviral meningitis
A871	1	075-076	Adenoviral meningitis
A872	1	075-076	Lymphocytic choriomeningitis
A878	1	075-076	Other viral meningitis
A879	1	075-076	"Viral meningitis, unspecified"
A880	1	075-076	Enteroviral exanthematous fever [Boston exanthem]
A881	1	091-093	Epidemic vertigo
A888	1	097-099	Other specified viral infections of central nervous system
	25	974-976	
A89	1	097-099	Unspecified viral infection of central nervous system
	25	974-976	
A90	18	865-866	Dengue fever [classical dengue]
A91	18	865-866	Dengue hemorrhagic fever
A920	18	865-866	Chikungunya virus disease
A921	18	865-866	O'nyong-nyong fever
A922	1	023-027	Venezuelan equine fever
	1	097-099	
A9230	18	865-866	"West Nile virus infection, unspecified"
A9231	18	865-866	West Nile virus infection with encephalitis
A9232	18	865-866	West Nile virus infection with other neurologic manifestation
A9239	18	865-866	West Nile virus infection with other complications
A924	18	865-866	Rift Valley fever
A928	18	865-866	Other specified mosquito-borne viral fevers
A929	18	865-866	"Mosquito-borne viral fever, unspecified"
A930	18	865-866	Oropouche virus disease
A931	18	865-866	Sandfly fever
A932	18	865-866	Colorado tick fever
A938	18	865-866	Other specified arthropod-borne viral fevers
A94	18	865-866	Unspecified arthropod-borne viral fever
A950	18	865-866	Sylvatic yellow fever
A951	18	865-866	Urban yellow fever
A959	18	865-866	"Yellow fever, unspecified"
A960	18	865-866	Junin hemorrhagic fever
A961	18	865-866	Machupo hemorrhagic fever
A962	18	865-866	Lassa fever
A968	18	865-866	Other arenaviral hemorrhagic fevers
A969	18	865-866	"Arenaviral hemorrhagic fever, unspecified"
A980	18	865-866	Crimean-Congo hemorrhagic fever
A981	18	865-866	Omsk hemorrhagic fever
A982	18	865-866	Kyasanur Forest disease
A983	18	865-866	Marburg virus disease
A984	18	865-866	Ebola virus disease
A985	11	689-690	Hemorrhagic fever with renal syndrome
A988	18	865-866	Other specified viral hemorrhagic fevers
A99	18	865-866	Unspecified viral hemorrhagic fever
B000	9	606-607	Eczema herpeticum
	15	793	
	25	974-976	
B001	3	154-156	Herpesviral vesicular dermatitis
	15	793	
	25	974-976	
B002	Pre	011-013	Herpesviral gingivostomatitis and pharyngotonsillitis
	3	157-159	
	15	793	
	25	974-976	
B003	1	023-027	Herpesviral meningitis
	1	075-076	
	15	793	
	25	974-976	
B004	1	023-027	Herpesviral encephalitis
	1	097-099	
	15	793	
	25	974-976	
B0050	2	124-125	"Herpesviral ocular disease, unspecified"
	15	793	
	25	974-976	
B0051	2	124-125	Herpesviral iridocyclitis
	15	793	
	25	974-976	
B0052	2	124-125	Herpesviral keratitis
	15	793	
	25	974-976	
B0053	2	124-125	Herpesviral conjunctivitis
	15	793	
	25	974-976	
B0059	2	124-125	Other herpesviral disease of eye
	15	793	
	25	974-976	
B007	15	793	Disseminated herpesviral disease
	18	870-872	
	25	974-976	
B0081	6	393-395	Herpesviral hepatitis
	15	793	
	25	974-976	
B0082	1	023-027	Herpes simplex myelitis
	1	097-099	
B0089	15	793	Other herpesviral infection
	18	865-866	
	25	974-976	
B009	9	606-607	"Herpesviral infection, unspecified"
	25	974-976	
B010	15	793	Varicella meningitis
	18	865-866	
B0111	1	097-099	Varicella encephalitis and encephalomyelitis
	15	793	
B0112	1	023-027	Varicella myelitis
	1	097-099	
B012	4	177-179	Varicella pneumonia
	15	793	
B0181	15	793	Varicella keratitis
	18	865-866	
B0189	15	793	Other varicella complications
	18	865-866	
B019	15	793	Varicella without complication
	18	865-866	
B020	1	073-074	Zoster encephalitis
	15	793	
	25	974-976	
B021	1	075-076	Zoster meningitis
	15	793	
	25	974-976	
B0221	1	073-074	Postherpetic geniculate ganglionitis
	15	793	
	25	974-976	
B0222	1	073-074	Postherpetic trigeminal neuralgia
	15	793	
	25	974-976	
B0223	1	073-074	Postherpetic polyneuropathy
	15	793	
	25	974-976	
B0224	1	023-027	Postherpetic myelitis
	1	097-099	
B0229	1	073-074	Other postherpetic nervous system involvement
	15	793	
	25	974-976	
B0230	2	124-125	"Zoster ocular disease, unspecified"
	15	793	
	25	974-976	
B0231	2	124-125	Zoster conjunctivitis
	15	793	
	25	974-976	
B0232	2	124-125	Zoster iridocyclitis
	15	793	
	25	974-976	
B0233	2	124-125	Zoster keratitis
	15	793	
	25	974-976	
B0234	2	124-125	Zoster scleritis
	15	793	
	25	974-976	
B0239	2	124-125	Other herpes zoster eye disease
	15	793	
	25	974-976	
B027	15	793	Disseminated zoster
	18	865-866	
	25	974-976	
B028	15	793	Zoster with other complications
	18	865-866	
	25	974-976	
B029	9	595-596	Zoster without complications
	15	793	
	25	974-976	
B03	18	865-866	Smallpox
B04	18	865-866	Monkeypox
B050	1	023-027	Measles complicated by encephalitis
	1	097-099	
	15	793	
B051	15	793	Measles complicated by meningitis
	18	865-866	
B052	4	177-179	Measles complicated by pneumonia
	15	793	
B053	3	152-153	Measles complicated by otitis media
	15	793	
B054	15	793	Measles with intestinal complications
	18	865-866	
B0581	2	124-125	Measles keratitis and keratoconjunctivitis
	15	793	
B0589	15	793	Other measles complications
	18	865-866	
B059	18	865-866	Measles without complication
B0600	1	073-074	"Rubella with neurological complication, unspecified"
	15	793	
B0601	1	097-099	Rubella encephalitis
	15	793	
B0602	1	097-099	Rubella meningitis
	15	793	
B0609	1	097-099	Other neurological complications of rubella
	15	793	
B0681	15	793	Rubella pneumonia
	18	865-866	
B0682	8	553-554	Rubella arthritis
	15	793	
B0689	15	793	Other rubella complications
	18	865-866	
B069	18	865-866	Rubella without complication
B070	9	606-607	Plantar wart
B078	9	606-607	Other viral warts
B079	9	606-607	"Viral wart, unspecified"
B08010	18	865-866	Cowpox
B08011	18	865-866	Vaccinia not from vaccine
B0802	9	606-607	Orf virus disease
B0803	9	606-607	Pseudocowpox [milker's node]
B0804	18	865-866	"Paravaccinia, unspecified"
B0809	18	865-866	Other orthopoxvirus infections
B081	9	606-607	Molluscum contagiosum
B0820	15	793	"Exanthema subitum [sixth disease], unspecified"
	18	865-866	
B0821	15	793	Exanthema subitum [sixth disease] due to human herpesvirus 6
	18	865-866	
B0822	15	793	Exanthema subitum [sixth disease] due to human herpesvirus 7
	18	865-866	
B083	18	865-866	Erythema infectiosum [fifth disease]
B084	18	865-866	Enteroviral vesicular stomatitis with exanthem
B085	Pre	011-013	Enteroviral vesicular pharyngitis
	3	152-153	
B0860	18	865-866	"Parapoxvirus infection, unspecified"
B0861	18	865-866	Bovine stomatitis
B0862	18	865-866	Sealpox
B0869	18	865-866	Other parapoxvirus infections
B0870	18	865-866	"Yatapoxvirus infection, unspecified"
B0871	18	865-866	Tanapox virus disease
B0872	18	865-866	Yaba pox virus disease
B0879	18	865-866	Other yatapoxvirus infections
B088	18	865-866	Other specified viral infections characterized by skin and mucous membrane lesions
B09	18	865-866	Unspecified viral infection characterized by skin and mucous membrane lesions
B1001	1	023-027	Human herpesvirus 6 encephalitis
	1	097-099	
	15	793	
	25	974-976	
B1009	1	023-027	Other human herpesvirus encephalitis
	1	097-099	
	15	793	
	25	974-976	
B1081	9	606-607	Human herpesvirus 6 infection
B1082	9	606-607	Human herpesvirus 7 infection
B1089	9	606-607	Other human herpesvirus infection
B150	7	441-443	Hepatitis A with hepatic coma
B159	7	441-443	Hepatitis A without hepatic coma
B160	7	441-443	Acute hepatitis B with delta-agent with hepatic coma
	15	793	
B161	7	441-443	Acute hepatitis B with delta-agent without hepatic coma
	15	793	
B162	7	441-443	Acute hepatitis B without delta-agent with hepatic coma
	15	793	
B169	7	441-443	Acute hepatitis B without delta-agent and without hepatic coma
	15	793	
B170	7	441-443	Acute delta-(super) infection of hepatitis B carrier
	15	793	
B1710	7	441-443	Acute hepatitis C without hepatic coma
	15	793	
B1711	7	441-443	Acute hepatitis C with hepatic coma
	15	793	
B172	7	441-443	Acute hepatitis E
	15	793	
B178	7	441-443	Other specified acute viral hepatitis
	15	793	
B179	7	441-443	"Acute viral hepatitis, unspecified"
	15	793	
B180	7	441-443	Chronic viral hepatitis B with delta-agent
	15	793	
B181	7	441-443	Chronic viral hepatitis B without delta-agent
	15	793	
B182	7	441-443	Chronic viral hepatitis C
	15	793	
B188	7	441-443	Other chronic viral hepatitis
	15	793	
B189	7	441-443	"Chronic viral hepatitis, unspecified"
	15	793	
B190	7	441-443	Unspecified viral hepatitis with hepatic coma
	15	793	
B1910	7	441-443	Unspecified viral hepatitis B without hepatic coma
	15	793	
B1911	7	441-443	Unspecified viral hepatitis B with hepatic coma
	15	793	
B1920	7	441-443	Unspecified viral hepatitis C without hepatic coma
B1921	7	441-443	Unspecified viral hepatitis C with hepatic coma
B199	7	441-443	Unspecified viral hepatitis without hepatic coma
	15	793	
B20	25	969-977	Human immunodeficiency virus [HIV] disease
B250	4	177-179	Cytomegaloviral pneumonitis
B251	7	441-443	Cytomegaloviral hepatitis
B252	7	438-440	Cytomegaloviral pancreatitis
	15	793	
B258	18	865-866	Other cytomegaloviral diseases
	25	974-976	
B259	18	865-866	"Cytomegaloviral disease, unspecified"
	25	974-976	
B260	12	727-728	Mumps orchitis
	15	793	
B261	1	023-027	Mumps meningitis
	1	075-076	
	15	793	
B262	1	023-027	Mumps encephalitis
	1	097-099	
	15	793	
B263	7	438-440	Mumps pancreatitis
	15	793	
B2681	7	441-443	Mumps hepatitis
	15	793	
B2682	15	793	Mumps myocarditis
	18	865-866	
B2683	15	793	Mumps nephritis
	18	865-866	
B2684	1	073-074	Mumps polyneuropathy
	15	793	
B2685	15	793	Mumps arthritis
	18	865-866	
B2689	15	793	Other mumps complications
	18	865-866	
B269	18	865-866	Mumps without complication
B2700	18	865-866	Gammaherpesviral mononucleosis without complication
B2701	18	865-866	Gammaherpesviral mononucleosis with polyneuropathy
B2702	18	865-866	Gammaherpesviral mononucleosis with meningitis
B2709	18	865-866	Gammaherpesviral mononucleosis with other complications
B2710	18	865-866	Cytomegaloviral mononucleosis without complications
B2711	18	865-866	Cytomegaloviral mononucleosis with polyneuropathy
B2712	18	865-866	Cytomegaloviral mononucleosis with meningitis
B2719	18	865-866	Cytomegaloviral mononucleosis with other complication
B2780	18	865-866	Other infectious mononucleosis without complication
B2781	18	865-866	Other infectious mononucleosis with polyneuropathy
B2782	18	865-866	Other infectious mononucleosis with meningitis
B2789	18	865-866	Other infectious mononucleosis with other complication
B2790	18	865-866	"Infectious mononucleosis, unspecified without complication"
B2791	18	865-866	"Infectious mononucleosis, unspecified with polyneuropathy"
B2792	18	865-866	"Infectious mononucleosis, unspecified with meningitis"
B2799	18	865-866	"Infectious mononucleosis, unspecified with other complication"
B300	2	124-125	Keratoconjunctivitis due to adenovirus
B301	2	124-125	Conjunctivitis due to adenovirus
B302	2	124-125	Viral pharyngoconjunctivitis
B303	2	124-125	Acute epidemic hemorrhagic conjunctivitis (enteroviral)
B308	2	124-125	Other viral conjunctivitis
B309	2	124-125	"Viral conjunctivitis, unspecified"
B330	4	193-195	Epidemic myalgia
B331	18	865-866	Ross River disease
B3320	5	314-316	"Viral carditis, unspecified"
B3321	5	306-307	Viral endocarditis
B3322	5	314-316	Viral myocarditis
B3323	5	314-316	Viral pericarditis
B3324	18	865-866	Viral cardiomyopathy
B333	18	865-866	"Retrovirus infections, not elsewhere classified"
B334	18	865-866	Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS]
B338	18	865-866	Other specified viral diseases
B340	18	865-866	"Adenovirus infection, unspecified"
B341	18	865-866	"Enterovirus infection, unspecified"
B342	18	865-866	"Coronavirus infection, unspecified"
B343	18	865-866	"Parvovirus infection, unspecified"
B344	18	865-866	"Papovavirus infection, unspecified"
B348	18	865-866	Other viral infections of unspecified site
B349	18	865-866	"Viral infection, unspecified"
B350	9	606-607	Tinea barbae and tinea capitis
B351	9	606-607	Tinea unguium
B352	9	606-607	Tinea manuum
B353	9	606-607	Tinea pedis
B354	9	606-607	Tinea corporis
B355	9	606-607	Tinea imbricata
B356	9	606-607	Tinea cruris
B358	9	606-607	Other dermatophytoses
B359	9	606-607	"Dermatophytosis, unspecified"
B360	9	606-607	Pityriasis versicolor
B361	9	606-607	Tinea nigra
B362	9	606-607	White piedra
B363	9	606-607	Black piedra
B368	9	606-607	Other specified superficial mycoses
B369	9	606-607	"Superficial mycosis, unspecified"
B370	Pre	011-013	Candidal stomatitis
	3	157-159	
	25	974-976	
B371	4	177-179	Pulmonary candidiasis
	15	793	
	25	974-976	
B372	9	606-607	Candidiasis of skin and nail
	25	974-976	
B373	13	742-743	Candidiasis of vulva and vagina
	13	757-759	
B3741	12	727-728	Candidal cystitis and urethritis
	13	742-743	
	13	757-759	
B3742	12	727-728	Candidal balanitis
B3749	12	727-728	Other urogenital candidiasis
	13	742-743	
	13	757-759	
B375	1	023-027	Candidal meningitis
	1	097-099	
	15	793	
	25	974-976	
B376	5	288-290	Candidal endocarditis
	15	793	
	25	974-976	
B377	18	870-872	Candidal sepsis
B3781	6	368-370	Candidal esophagitis
	15	793	
	25	974-976	
B3782	6	391-392	Candidal enteritis
	15	793	
	25	974-976	
B3783	Pre	011-013	Candidal cheilitis
	3	157-159	
	25	974-976	
B3784	3	154-156	Candidal otitis externa
	15	793	
	25	974-976	
B3789	18	867-869	Other sites of candidiasis
	25	974-976	
B379	18	867-869	"Candidiasis, unspecified"
	25	974-976	
B380	4	177-179	Acute pulmonary coccidioidomycosis
	25	974-976	
B381	4	177-179	Chronic pulmonary coccidioidomycosis
	25	974-976	
B382	4	177-179	"Pulmonary coccidioidomycosis, unspecified"
	25	974-976	
B383	9	606-607	Cutaneous coccidioidomycosis
	25	974-976	
B384	1	023-027	Coccidioidomycosis meningitis
	1	097-099	
	15	793	
	25	974-976	
B387	15	793	Disseminated coccidioidomycosis
	18	867-869	
	25	974-976	
B3881	9	606-607	Prostatic coccidioidomycosis
	25	974-976	
B3889	15	793	Other forms of coccidioidomycosis
	18	867-869	
	25	974-976	
B389	18	867-869	"Coccidioidomycosis, unspecified"
	25	974-976	
B390	4	177-179	Acute pulmonary histoplasmosis capsulati
	15	793	
	25	974-976	
B391	4	177-179	Chronic pulmonary histoplasmosis capsulati
	15	793	
	25	974-976	
B392	4	177-179	"Pulmonary histoplasmosis capsulati, unspecified"
	15	793	
	25	974-976	
B393	18	867-869	Disseminated histoplasmosis capsulati
	25	974-976	
B394	18	867-869	"Histoplasmosis capsulati, unspecified"
	25	974-976	
B395	18	867-869	Histoplasmosis duboisii
	25	974-976	
B399	18	867-869	"Histoplasmosis, unspecified"
	25	974-976	
B400	15	793	Acute pulmonary blastomycosis
	18	867-869	
B401	15	793	Chronic pulmonary blastomycosis
	18	867-869	
B402	15	793	"Pulmonary blastomycosis, unspecified"
	18	867-869	
B403	15	793	Cutaneous blastomycosis
	18	867-869	
B407	15	793	Disseminated blastomycosis
	18	867-869	
B4081	15	793	Blastomycotic meningoencephalitis
	18	867-869	
B4089	15	793	Other forms of blastomycosis
	18	867-869	
B409	15	793	"Blastomycosis, unspecified"
	18	867-869	
B410	15	793	Pulmonary paracoccidioidomycosis
	18	867-869	
B417	15	793	Disseminated paracoccidioidomycosis
	18	867-869	
B418	15	793	Other forms of paracoccidioidomycosis
	18	867-869	
B419	15	793	"Paracoccidioidomycosis, unspecified"
	18	867-869	
B420	18	867-869	Pulmonary sporotrichosis
B421	18	867-869	Lymphocutaneous sporotrichosis
B427	18	867-869	Disseminated sporotrichosis
B4281	18	867-869	Cerebral sporotrichosis
B4282	18	867-869	Sporotrichosis arthritis
B4289	18	867-869	Other forms of sporotrichosis
B429	18	867-869	"Sporotrichosis, unspecified"
B430	18	867-869	Cutaneous chromomycosis
B431	18	867-869	Pheomycotic brain abscess
B432	18	867-869	Subcutaneous pheomycotic abscess and cyst
B438	18	867-869	Other forms of chromomycosis
B439	18	867-869	"Chromomycosis, unspecified"
B440	4	177-179	Invasive pulmonary aspergillosis
B441	15	793	Other pulmonary aspergillosis
	18	867-869	
B442	15	793	Tonsillar aspergillosis
	18	867-869	
B447	15	793	Disseminated aspergillosis
	18	867-869	
B4481	4	196-198	Allergic bronchopulmonary aspergillosis
B4489	15	793	Other forms of aspergillosis
	18	867-869	
B449	15	793	"Aspergillosis, unspecified"
	18	867-869	
B450	15	793	Pulmonary cryptococcosis
	18	867-869	
	25	974-976	
B451	1	023-027	Cerebral cryptococcosis
	1	097-099	
	15	793	
B452	15	793	Cutaneous cryptococcosis
	18	867-869	
	25	974-976	
B453	15	793	Osseous cryptococcosis
	18	867-869	
	25	974-976	
B457	15	793	Disseminated cryptococcosis
	18	867-869	
	25	974-976	
B458	15	793	Other forms of cryptococcosis
	18	867-869	
	25	974-976	
B459	15	793	"Cryptococcosis, unspecified"
	18	867-869	
	25	974-976	
B460	15	793	Pulmonary mucormycosis
	18	867-869	
B461	15	793	Rhinocerebral mucormycosis
	18	867-869	
B462	15	793	Gastrointestinal mucormycosis
	18	867-869	
B463	15	793	Cutaneous mucormycosis
